,Unnamed: 0,word,start,end,duration,file,isPronoun,isPlural,isPreceding,isManner,isIntermediate,er,Annotation,Transformation,Comments,isReferent,isModifier,isAfterNoun,first_occur,referent,isTooLong,transOrd,Notsure,wordOrder,Comment,LongRef,code,story,part,condition,count,wordID
52,52,het,164.5049887,164.594966,0.089977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,442,,,8,3,1,pronoun,53,6
53,53,zijn,164.6949887,164.764966,0.069977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,444,,,6,3,1,pronoun,54,8
54,54,hij,166.6349887,166.684966,0.049977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,448,,,6,3,1,pronoun,55,5
55,55,hij,167.9549887,168.054966,0.099977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,454,,,6,3,1,pronoun,56,5
56,56,hij,169.4549887,169.544966,0.089977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,459,,,6,3,1,pronoun,57,5
57,57,hij,172.9249887,173.054966,0.129977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,467,,,6,3,1,pronoun,58,5
58,58,het,173.4249887,173.524966,0.099977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,469,,,8,3,1,pronoun,59,6
59,59,ik,176.1349887,176.254966,0.119977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,475,,,6,3,1,pronoun,60,4
60,60,hij,180.22,180.2599773,0.039977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,485,,,6,3,1,pronoun,61,5
61,61,het,185.18,185.2599773,0.079977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,500,,,8,3,1,pronoun,62,6
62,62,ik,189.4,189.5799773,0.179977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,506,,,6,3,1,pronoun,63,4
63,63,mij,190.49,190.6699773,0.179977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,512,,,6,3,1,pronoun,64,9
64,64,mij,192.3,192.4299773,0.129977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,517,,,6,3,1,pronoun,65,9
65,65,hij,195.28,195.3799773,0.099977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,527,,,6,3,1,pronoun,66,5
66,66,het,196.11,196.2399773,0.129977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,531,,,8,3,1,pronoun,67,6
67,67,hem,200.32,200.4299773,0.109977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,541,,,6,3,1,pronoun,68,10
68,68,hij,203.57,203.7099773,0.139977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,554,,,6,3,1,pronoun,69,5
69,69,hij,210.88,211.1899773,0.309977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,572,,,6,3,1,pronoun,70,5
70,70,hij,213.64,213.7999773,0.159977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,579,,,9,3,1,pronoun,71,5
71,71,hij,217.17,217.2699773,0.099977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,591,,,9,3,1,pronoun,72,5
72,72,mijn,236.25,236.3499773,0.099977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,630,,,9,3,1,pronoun,73,7
73,73,ik,240.59,240.7499773,0.159977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,638,,,6,3,1,pronoun,74,4
74,74,ik,247.19,247.3499773,0.159977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,657,,,6,3,1,pronoun,75,4
75,75,ik,248.61,248.6899773,0.079977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,661,,,6,3,1,pronoun,76,4
77,77,ik,253.42,253.5699773,0.149977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,672,,,9,3,1,pronoun,78,4
78,78,het,257.75,257.7799546,0.029954649,20G1 ,1,,,,,,de maaltijd,,,,,,,,,,,691,,,10,3,1,pronoun,79,6
79,79,het,261.58,261.7199773,0.139977324,20G1 ,1,,,,,,de maaltijd,,,,,,,,,,,698,,,10,3,1,pronoun,80,6
80,80,Hij,267.19,267.2899773,0.099977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,712,,,6,3,1,pronoun,81,5
81,81,zijn,268.2,268.3399546,0.139954649,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,717,,,6,3,1,pronoun,82,8
82,82,het,269.48,269.5599773,0.079977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,720,,,8,3,1,pronoun,83,6
83,83,het,276.64,276.7199773,0.079977324,20G1 ,1,,,,,,de maaltijd,,,,,,,,,,,741,,,10,3,1,pronoun,84,6
84,84,hij,282.9549887,283.074966,0.119977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,752,,,9,3,1,pronoun,85,5
85,85,zich,283.2349887,283.414966,0.179977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,754,,,9,3,1,pronoun,86,12
86,86,zijn,287.3449887,287.504966,0.159977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,767,,,9,3,1,pronoun,87,8
87,87,ik,293.8949887,294.004966,0.109977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,784,,,9,3,1,pronoun,88,4
88,88,mij,295.5449887,295.764966,0.219977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,791,,,9,3,1,pronoun,89,9
89,89,mij,298.0249887,298.184966,0.159977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,803,,,9,3,1,pronoun,90,9
90,90,Ik,299.1849887,299.274966,0.089977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,805,,,9,3,1,pronoun,91,4
91,91,Ik,301.9149887,302.054966,0.139977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,813,,,9,3,1,pronoun,92,4
92,92,hij,303.7,303.8199773,0.119977324,20G1 ,1,,,,,,een soldatenransel,,,,,,,,,,,817,,,11,3,1,pronoun,93,5
93,93,hij,305.33,305.3699773,0.039977324,20G1 ,1,,,,,,een soldatenransel,,,,,,,,,,,823,,,11,3,1,pronoun,94,5
94,94,ik,308.07,308.1799773,0.109977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,828,,,9,3,1,pronoun,95,4
95,95,hem,308.6,308.7199773,0.119977324,20G1 ,1,,,,,,een soldatenransel,,,,,,,,,,,830,,,11,3,1,pronoun,96,10
96,96,ik,309.44,309.5399773,0.099977324,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,834,,,9,3,1,pronoun,97,4
97,97,ik,313.0899773,313.1899773,0.1,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,844,,,6,3,1,pronoun,98,4
98,98,ik,319.17,319.2799546,0.109954649,20G1 ,1,,,,,,de kolenbrander,,,,,,,,,,,857,,,9,3,1,pronoun,99,4
99,99,hij,334.1449887,334.204966,0.059977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,901,,,6,3,1,pronoun,100,5
100,100,hij,339.2799773,339.4699773,0.19,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,914,,,6,3,1,pronoun,101,5
101,101,hem,346.8,346.9199773,0.119977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,939,,,6,3,1,pronoun,102,10
102,102,mijn,349.24,349.3999546,0.159954649,20G1 ,1,,,,,,de korporaal,,,,,,,,,,,946,,,12,3,1,pronoun,103,7
103,103,mijn,354.17,354.3199773,0.149977324,20G1 ,1,,,,,,de derde broeder,,,1,1,,,mooie tafellakentje,,,,956,,,6,3,1,pronoun,104,7
104,104,het,361.44,361.5199773,0.079977324,20G1 ,1,,,,,,mooie tafellakentje,,,,,,,,,,,974,,,8,3,1,pronoun,105,6
105,105,Hij,364.89,365.0099773,0.119977324,20G1 ,1,,,,,,de derde broeder,,,,,,,,,,,980,,,6,3,1,pronoun,106,5
106,106,zijn,0.88,1.04,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,991,,,6,3,2,pronoun,107,8
107,107,hij,5.66,5.74,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1001,,,6,3,2,pronoun,108,5
108,108,zijn,7.72,7.85,,20G2,1,,,,,,een anderen kolenbrander,,,,,,,,,,,1010,,,13,3,2,pronoun,109,8
109,109,mij,12.61,12.7,,20G2,1,,,,,,een anderen kolenbrander,,,,,,,,,,,1017,,,13,3,2,pronoun,110,9
110,110,hij,20.75,21.03,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1035,,,6,3,2,pronoun,111,5
111,111,mijn,22.17,22.41,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1040,,,6,3,2,pronoun,112,7
112,112,hij,23.54,23.63,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1044,,,6,3,2,pronoun,113,5
113,113,zijn,24.1,24.22,,20G2,1,,,,,,de derde broeder,,,1,1,,,mooie tafellakentje,,,,1046,,,6,3,2,pronoun,114,8
114,114,'T,25.08,25.14,,20G2,1,,,,,,mooie tafellakentje,,,,,,,,,,,1050,,,8,3,2,pronoun,115,13
115,115,ik,34.68,34.83,,20G2,1,,,,,,een anderen kolenbrander,,,,,,,,,,,1072,,,13,3,2,pronoun,116,4
116,116,het,39.96499,40.03998,,20G2,1,,,,,,een oud versleten hoedje,,,,,,,,,,,1084,,,14,3,2,pronoun,117,6
117,117,ze,47.68,47.79,,20G2,1,,,,,,kanonnen,,,,,,,,,,,1103,,,15,3,2,pronoun,118,14
118,118,ik,52.77,52.84,,20G2,1,,,,,,een anderen kolenbrander,,,,,,,,,,,1118,,,13,3,2,pronoun,119,4
119,119,ik,53.74,53.85,,20G2,1,,,,,,een anderen kolenbrander,,,,,,,,,,,1121,,,13,3,2,pronoun,120,4
120,120,het,53.95,54.04,,20G2,1,,,,,,een oud versleten hoedje,,,,,,,,,,,1123,,,14,3,2,pronoun,121,6
121,121,ik,57.32,57.45,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1131,,,6,3,2,pronoun,122,4
122,122,hij,57.91,58.21,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1134,,,6,3,2,pronoun,123,5
123,123,zijn,59.76,59.89,,20G2,1,,,,,,de derde broeder,,,1,1,,,mooie tafellakentje,,,,1140,,,6,3,2,pronoun,124,8
124,124,hij,63.27,63.48,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1145,,,6,3,2,pronoun,125,5
125,125,hij,64.79,64.94,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1151,,,6,3,2,pronoun,126,5
126,126,hij,71.81,72.09,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1169,,,6,3,2,pronoun,127,5
127,127,mijn,73.07,73.23,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1174,,,6,3,2,pronoun,128,7
128,128,zijn,76.82,76.99,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1182,,,6,3,2,pronoun,129,8
129,129,hem,77.69,77.77,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1185,,,6,3,2,pronoun,130,10
130,130,hij,79.57,79.73,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1189,,,6,3,2,pronoun,131,5
131,131,hij,81.61,81.69,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1196,,,6,3,2,pronoun,132,5
132,132,hem,83.55,83.7,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1202,,,6,3,2,pronoun,133,10
133,133,Hij,87.83,88.02,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1210,,,6,3,2,pronoun,134,5
134,134,zijn,88.77,88.9,,20G2,1,,,,,,de derde broeder,,,1,1,,,mooie tafellakentje,,,,1215,,,6,3,2,pronoun,135,8
135,135,hij,93.37,93.44,,20G2,1,,,,,,een derden kolenbrander,,,,,,,,,,,1226,,,16,3,2,pronoun,136,5
136,136,hem,93.44,93.57,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1227,,,6,3,2,pronoun,137,10
137,137,Hij,106.86,106.96,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1263,,,6,3,2,pronoun,138,5
138,138,het,109.68,109.78,,20G2,1,,,,,,mooie tafellakentje,,,,,,,,,,,1274,,,8,3,2,pronoun,139,6
139,139,zijn,109.92,110.05,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1276,,,6,3,2,pronoun,140,8
140,140,hij,111.86,111.92,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1281,,,6,3,2,pronoun,141,5
141,141,ik,116.79,116.93,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1294,,,6,3,2,pronoun,142,4
142,142,hij,117.88,118.23,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1298,,,6,3,2,pronoun,143,5
143,143,ik,121.33,121.4,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1305,,,6,3,2,pronoun,144,4
144,144,mijn,123.44,123.61,,20G2,1,,,,,,de derde broeder,,,1,1,,1,broers,,,,1313,,,6,3,2,pronoun,145,7
145,145,hij,126.92,127.02,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1318,,,6,3,2,pronoun,146,5
146,146,zijn,127.88,128.09,,20G2,1,,,,,,de derde broeder,,,1,1,,,broers,,,,1321,,,6,3,2,pronoun,147,8
147,147,hun,128.61,128.75,,20G2,1,,,,,,broers,,,,,,,,,,,1324,,,17,3,2,pronoun,148,15
148,148,Hij,134.54,134.63,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1339,,,6,3,2,pronoun,149,5
149,149,hen,134.97,135.19,,20G2,1,,,,,,broers,,,,,,,,,,,1342,,,17,3,2,pronoun,150,16
150,150,hij,136.52,136.82,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1346,,,6,3,2,pronoun,151,5
151,151,zijn,139.02,139.18,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1356,,,6,3,2,pronoun,152,8
152,152,zij,141.97,142.12,,20G2,1,,,,,,broers,,,,,,,,,,,1365,,,17,3,2,pronoun,153,1
153,153,hem,142.12,142.25,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1366,,,6,3,2,pronoun,154,10
154,154,hun,142.64,142.73,,20G2,1,,,,,,broers,,,1,1,,,de derde broeder,,,,1369,,,17,3,2,pronoun,155,15
155,155,Zij,144.98,145.07,,20G2,1,,,,,,broers,,,,,,,,,,,1372,,,17,3,2,pronoun,156,1
156,156,onzen,147.55,147.82,,20G2,1,,,,,,broers,,,1,1,,,de derde broeder,,,,1381,,,17,3,2,pronoun,157,17
157,157,zij,158.71,158.86,,20G2,1,,,,,,broers,,,,,,,,,,,1411,,,17,3,2,pronoun,158,1
158,158,hem,159.17,159.36,,20G2,1,,,,,,de derde broeder,,,,,,,,,,,1413,,,6,3,2,pronoun,159,10
